まとめ履歴,,,,
作成日時：2026年9月8日 00:28,,,,
ー,,,,
S04-001,記載ルールの置き場所の決定と、発火条項の新設,まとめルール 確定事項ファイル 記載ルール 発火条項 生存量,-,-
S04-002,まとめルール改訂12件の突合と、適用先の振り替え,まとめルール 改訂一覧 突合 振り替え 波及検査,-,-
S04-003,まとめルールの重複条項の解消と各記載ルール節の整備,まとめルール 重複解消 記載ルール節 確定事項ファイル 未確定事項ファイル まとめ履歴,-,-
S04-004,まとめルール4-6の重複記載禁止条項の再設計,まとめルール 成果物 評価 観点 重複記載,-,-
S04-005,滞留量の実測とセッション継続の判断,滞留量 生存量 文脈脱落 ターン別一覧 bash_log,-,-
S05-001,出力ルールの改訂（実現不能条文の修正とcsvのBOM対応）,出力ルール BOM 文字コード 実現不能条文 承認タイミング,-,-
S05-002,確定事項・未確定事項ファイルへのキー語彙表とキー列の追加,キー語彙表 キー列 検索性 パイプ囲み 部分一致抽出,-,-
S05-003,statusの6値化、出典IDの充填、および出典IDを書けるようにするための規程改訂,status 出典ID 与件 実測 仕様書VI-1 呼称寸法,-,-
S05-004,引き継ぎファイルの軽量化と、未確定事項5件の起票,引き継ぎファイル 限定列挙 ID維持 表の統合 転記の連鎖,-,-
S05-005,滞留量の実測と、未配置チェックの運用,滞留量 生存量 未配置チェック 承認省略 冒頭の軽量化,-,-
S06-001,ストレージ体系の単一原本モデルへの再定義,単一原本 配布物 未配置チェック 文書体系 まとめルール,-,-
S06-002,文書体系のID書式への aa・bbb の定義追加,ID書式 通し番号 起票セッション番号 文書体系 確定事項ファイル,-,-
S06-003,事前ルール整備の終了時期の決定,ルール整備 終了時期 装置設計 試験作図 滞留量,-,-
S07-001,承認済みを根拠に検算を省略しない旨の条文化,検算 6-6 最初に読むこと 出力ルール5-5 波及検査,-,-
S07-002,Claude行動指針への条番号付与,条番号 行動指針 参照可能性 最初に読むこと 4-3,-,-
S07-003,設置スペース3面図の作成と作図仕様の運用検証,三面図 F001 出力ルール7 座標系 部屋.xlsx カーテン,D00-026 D00-027,U07-001
S07-004,成果物・ツールの保管場所の規定,保管場所 出力ルール4-5 4-6 DB/ツール 文書体系,-,-
S07-005,作図ツールの新設と保管,室内三面図.py 定義部 写し 再生成 GH/ツール,-,-
S08-001,装置設計のフェーズ計画の策定,フェーズ 大計画 移行条件 結果評価 引き継ぎファイル,-,-
S08-002,フェーズ計画の保管先の検討と確定事項ファイルへの起票の取り下げ,確定事項ファイル キー語彙 status 起票取り下げ 語彙追加,-,-
S08-003,フェーズ0の実施と干渉限界高さの導出,干渉限界 光路 視線 スローレシオ AV機器一覧.md,-,-
S08-004,成立前提の摘出とF005への改訂,チルト 自己整合解 F005 前提条件 出力ルール7-4,-,-
S08-005,滞留量の構造分析とツール保管方式の検討,滞留量 生存量 tool_search ツールリスト bash_log.tsv,-,-
S09-001,軽量ルール改訂4件の一括実施,死参照 図番欠番 成立前提 ルール改訂ルール,-,-
S09-002,アップロード経路の不通とKB経由への切替,uploads 文脈脱落 プロジェクトファイル 最初に読むこと,-,-
S09-003,ツールリストの新設と出力ルール4-6の置換,list_folder 廃止 GH配布 文書体系,-,-
S09-004,ツールリストの様式統一,はじめに 記載ルール 未確定事項ファイル 節番号,-,-
S09-005,滞留量集計スクリプトのツール化,滞留量集計.py 無表示実行 bash_log.tsv curl,-,-
S10-001,フェーズ0の完了と確定事項の起票,干渉限界 再算出 問いが消滅 冒頭様式 部屋.xlsx,D00-028〜D00-038,U05-001〜U05-005
S10-002,室内三面図の図番可変化とCSP設置位置の作図,図番 引数 梁間 141.45 上限値 室内三面図.py,-,-
S10-003,ツールリストの整備とT002の登録,T002 備考列 ヘッダ行 参照化 ツールリスト.csv,-,-
S10-004,ルール改訂の一括実施,GH配布 波及検査 未配置チェック まとめルール 出力ルール,-,-
S10-005,滞留量台帳のターン番号是正と実測化,ターン番号 生存量 実測 bash_log.tsv アップロード不着,-,-
S11-001,取り組み内容のゴミ箱化への対処と仕分け,引き継ぎファイル 見送り 起票閾値 検出経路 純増,-,-
S11-002,ルール改訂の一括実施,改訂ルール 波及検査 新旧対照 最初に読むこと 出力ルール,-,-
S11-003,台帳の機械化とツール化,T001 T003 TURN_OPEN 終了コード ブートストラップ,-,-
S11-004,未配置チェックの構造欠陥の解消,まとめルール3-3 照合基準 引き継ぎ3節(a) HEAD,-,-
S11-005,6-6・6-7の適用範囲の限定と提示書式の集約,status 与件 実測 カタログ 計算 再算出,-,-
S11-006,禁止語句検査のGH全ファイル実施,禁止語 リポジトリ 全数 個人情報 公開範囲,-,-
S11-007,T002のファイル名整合,T002 室内三面図 リネーム sha256 出力ルール8-2,-,-
S12-001,セッション立ち上げ経路の初回実走行,T001 T003 ツールリスト ブートストラップ 5-10,-,-
S12-002,未配置チェックの実行と引き継ぎファイルのバイト数不一致の解明,引き継ぎファイル 9677 自己参照 HEAD list_folder,-,-
S12-003,未配置チェックのファイルリスト方式への移行,GHファイルリスト 更新日時 フォールバック 3-3 版ズレ,-,-
S12-004,KBの照合手順の新設と配布先の決着,BOM 濁点 プロジェクトファイル 配布先 3-3(4),-,-
S12-005,まとめルール3節の承認免除とT003への免除引数の追加,5-9 ex引数 生存量 OVER_SEIZONRYO 往復,-,-
S12-006,計上不能経路の解消とDBファイルリストの新設,list_folder tool_search 0計上 bash_log fetch,-,-
S12-007,引き継ぎファイル3節(a)の自己参照の解消,3節(a) 台帳 転記 照合対象外 構造欠陥,-,-
S12-008,まとめルールの体裁修正,9-4 10節 空行 引き継ぎ記述 実測,-,-
S13-001,セッション立ち上げとGHファイルリスト名の誤りからの復旧,ファイルリスト tarball codeload T001 T003 未配置チェック,-,-
S13-002,フェーズ1中計画の6ステップ化と終了条件の付与,中計画 終了条件 戻りループ Step1a Step1b 引き継ぎファイル.md,-,-
S13-003,評価軸の構造修正と排除閾値・優劣面の対,評価軸 排除閾値 優劣面 メンテ性 プロジェクト概要.txt,-,-
S13-004,前提の棚卸しと前提一覧表の新設,前提一覧表 A00 棚卸し 依存列 status 出力ルール.txt,-,-
S13-005,使用条件と想定外力の定義,使用期間 往復回数 衝撃係数 猫 摩擦保持,-,-
S13-006,D00-037の基準面の解明と収納姿勢の決定,基準面 チルト維持 楔空間 はみ出し まとめファイル.md,D00-036 D00-037,-
S13-007,CSP保持条件とダウンライト干渉の摘出,取付穴 ダウンライト 配光角 擬似天井 確定事項ファイル.csv,-,-
S14-001,セッション立ち上げと前提一覧表初版の未配置検出および解消,GHファイルリスト 未配置チェック list_folder DBファイルリスト 前提一覧表.csv,-,-
S14-002,意匠の閾値の確定と収納包絡高さによる再定義,収納包絡高さ 梁下面 掘り込み天井 ストローク比 剛体軸,-,-
S14-003,姿勢保持の許容値の意匠への限定とロール・振れの数値化,ロール角 振り子周期 全振幅 静定 想定外力,-,-
S14-004,静粛性の排除閾値と優劣面の分離,打撃音 断続音 優劣面 統合検証 使用条件,-,-
S14-005,外注可否の監査と個人向け金属加工の調査,外注 板金 タップ 寸法指定カット web調査,-,-
S14-006,Step1b終了条件の照合と必要ストロークの三値不一致,6-6 再算出 D00-036 確定事項ファイル.csv 終了条件,-,-
S14-007,まとめルールの未配置チェック条項の改訂,3-2 3-3 10-1 波及検査 まとめルール.txt,-,-
S14-008,前提一覧表の取得経路の設計と一時置きの採用,一時置き UncontroledCopy バイト照合 前提一覧表.csv 引き継ぎファイル,-,-
S14-009,セッションのまとめ作業,教訓 bash実行ログ まとめ履歴.csv 引き継ぎファイル.md 禁止語句検査,-,-
S15-001,セッション立ち上げと未配置チェック,GHファイルリスト T003 ブートストラップ 更新日時 3-3(5),-,-
S15-002,前提一覧表の取得とA00-033の丸め不一致の決着,前提一覧表 A00-033 58.37 71.6275 丸め 確定事項ファイル節4,-,-
S15-003,フェーズ1 Step 2 軸集合の暫定確定と書式ルールの採用,評価軸 E1からE13 暫定 書式ルール Step2工程,-,-
S15-004,E1 保持と落下防止の閾値と優劣面の確定,E1 一重故障 セルフロック 自由落下 305.9倍 水準B,-,-
S15-005,E2 収納幾何の確定とE2-bの削除,E2 包絡高さ20.0 楔空間 A00-032 従属 二重計上,-,-
S15-006,E14 使用状態の意匠の新設と優劣専用軸の決定,E14 意匠 要件2 程度要求 優劣専用 終了条件例外,-,-
S15-007,E6 干渉の再定義とF005の読み取り,E6 干渉限界高さ F005 PJ光路 視線 172.169,-,-
S15-008,E3 ストローク確保の確定,E3 ストローク75.4 剛体軸 321.76 従属条件の再発,-,-
S15-009,E4 姿勢保持の確定,E4 ロール 拘束 支持スパン 0.5017度 優劣面の欠落,-,-
S15-010,まとめルール10-1(10)の自己参照の解消,まとめルール10-1(10) 自己参照 測定時点 5-3(3)(d) 波及検査,-,-
S15-011,A00-035・A00-036の扱いとP10-004の見送り,A00-035 配光角 未確定事項 P10-004 見送り 起票トリガー,-,-
S15-012,セッションのまとめ作業,まとめ作業 教訓76件 二重計上 禁止語句検査 チェックリスト,-,-
S16-001,セッション立ち上げと未配置チェック,GHファイルリスト T001 T003 未配置チェック DBファイルリスト 生存量,-,-
S16-002,前提一覧表の部分取得と既存6軸条文の抽出,前提一覧表 節構成 A00-001 まとめファイル 軸コード抽出 部分取得,-,-
S16-003,E5 取付インタフェースの確定,E5 梁側面 荷重経路 クランプ M6 加工量 A00-002,-,-
S16-004,E14の到達点の確認と意匠軸の再定義,E14 視認性 収納状態 投影面積 S15-006 意匠 E2-ii,-,-
S16-005,E7 CSPとの結合の確定,E7 把持 A00-012 A00-018 側面拘束 バスレフポート A00-045,-,-
S16-006,E8 駆動と制御の確定,E8 優劣専用 停止位置 再現性 駆動点 二値入力,-,-
S16-007,E9 静粛性の確定,E9 A00-041 打撃音 断続音 ラチェット A00-040,-,-
S16-008,E10 環境の確定,E10 A00-026 油の滴下 油受け A00-027 摩耗粉 A00-028,-,-
S16-009,E11 調達と加工の確定,E11 A00-042 A00-044 図面外注 現場加工 A00-022 予算,-,-
S16-010,E12 施工とメンテ性の確定とStep 2終了条件の改訂,E12 施工 メンテ 要件3 終了条件 例外 優劣専用,-,-
S16-011,E13 耐久の確定,E13 A00-019 A00-020 7300往復 経年劣化 定期交換部品,-,-
S16-012,引き継ぎ事項の処理,A00-033 出典欄 D00-034 滞留量 非機械計上 web調査,-,-
S16-013,滞留量の計上責任の集約とT004の新設,T004 ラッパ 計上漏れ 二重計上 ルール改訂 新旧対照 波及検査,-,-
S16-014,セッションのまとめ作業,まとめルール 教訓 禁止語句検査 チェックリスト 引き継ぎファイル,-,-
S17-001,前提一覧表A00-001〜046の14軸への対応づけ（フェーズ1 Step 2 工程(3)）,前提一覧表／対応づけ／網羅性／非対応項目／E12の裏付け／軸名ベース,-,-
S17-002,優劣軸の優先順位の暫定承認（フェーズ1 Step 2 工程(4)）,優先順位／要件対応／加重和／辞書式／面数の偏り／引き継ぎファイル,-,U17-001
S17-003,U17-001の起票と確定事項・未確定事項ファイルのキー語彙表へのA系統「評価」の追加,U17-001／キー語彙表／A系統／換算方法／未確定事項ファイル／確定事項ファイル,-,U17-001
S17-004,最初に読むこと5-8・5-9の改訂（引き継ぎファイル読み取りのバイト数判定の免除）,最初に読むこと／5-8／バイト数判定／免除の集約／ルール改訂ルール／記述の一本化,-,-
S17-005,フェーズ1 Step 2 終了条件①〜④の照合,Step2／終了条件／照合／未照合で保持／条文未取得／まとめファイル,-,-
S17-006,第17回のまとめ作業と成果物の引き渡し,まとめ作業／bash実行ログ／教訓0件／禁止語句検査／まとめ履歴／引き継ぎファイル,-,-
ー,,,,
